config,fold,rmsle_all,rmsle_seg_0_cold,n_seg_0_cold,rmsle_seg_1_1-29g,n_seg_1_1-29g,rmsle_seg_2_30-89g,n_seg_2_30-89g,rmsle_seg_3_90-269g,n_seg_3_90-269g,rmsle_cold,rmsle_warm,rmsle_blend,rmsle_seg_4_270g+,n_seg_4_270g+
baseline_default,A_mevsim,1.1422998274959832,2.3642802151885896,30386.0,1.9656837823685296,5767.0,0.7850781884825572,22566.0,0.8298988772625434,210065.0,2.3642802151885896,0.8710281956883102,1.3525046051706544,,
baseline_default,B_guncel,0.9299037592648232,1.7865575448695876,69115.0,0.5872523475156054,69711.0,0.5234549221517777,52381.0,0.6977595870241491,48422.0,1.7865575448695876,0.6564912344990292,1.0211638452279417,0.6989229777270122,200296.0
baseline_default,C_ara,1.2179994325372099,2.038072617137087,87952.0,0.9122399202264937,28807.0,1.0116503834234083,13454.0,0.7651381974885848,65173.0,2.038072617137087,0.8323908249997896,1.2082227782718546,0.8277577382280974,189602.0
optuna_top1,A_mevsim,1.1353251145389105,2.364018651280284,30386.0,1.97873131839093,5767.0,0.7380199827363186,22566.0,0.821505562011082,210065.0,2.364018651280284,0.860777082202763,1.3472845876358461,,
optuna_top1,B_guncel,0.9307758742887411,1.7855300812249455,69115.0,0.5945707281524327,69711.0,0.5184842744348905,52381.0,0.6802938127289242,48422.0,1.7855300812249455,0.6584755200216384,1.0217599228941503,0.7053274394599706,200296.0
optuna_top1,C_ara,1.2157409277503397,2.038355323408445,87952.0,0.8842672709278109,28807.0,0.9991573238280476,13454.0,0.7445521868448036,65173.0,2.038355323408445,0.8278943754005446,1.205921474320192,0.8328192481618681,189602.0
optuna_top2,A_mevsim,1.1366505825317959,2.362630760452411,30386.0,1.8702495183861356,5767.0,0.7657491238869676,22566.0,0.828647781412868,210065.0,2.362630760452411,0.8632314822068885,1.347967275100663,,
optuna_top2,B_guncel,0.9341414337825242,1.785351227750155,69115.0,0.5879051183513919,69711.0,0.5262959550562033,52381.0,0.6922806125261323,48422.0,1.785351227750155,0.6641953110004226,1.0245685530347273,0.7128282066340351,200296.0
optuna_top2,C_ara,1.2177541110101335,2.0377131146818717,87952.0,0.8992403336167427,28807.0,1.0206889733912854,13454.0,0.7520882902453755,65173.0,2.0377131146818717,0.8321861998954831,1.2079786617742083,0.8329042239108632,189602.0
optuna_top3,A_mevsim,1.134378921551949,2.364067914013914,30386.0,1.9587937059976952,5767.0,0.7441244729007743,22566.0,0.8205322013356704,210065.0,2.364067914013914,0.859352192763011,1.3465955298655745,,
optuna_top3,B_guncel,0.9327288259031894,1.7855627706455606,69115.0,0.591701698800943,69711.0,0.5211801599433261,52381.0,0.6813738739859211,48422.0,1.7855627706455606,0.6617294910445762,1.0234076139990769,0.7110104532783801,200296.0
optuna_top3,C_ara,1.2168153870220275,2.037573521500584,87952.0,0.8999276764067379,28807.0,1.0015361972604873,13454.0,0.7453140403606356,65173.0,2.037573521500584,0.8305060065965334,1.2070260188888169,0.8339065107593879,189602.0
